Transaction Date,Post Date,Description,Category,Type,Amount,Memo
04/03/2026,04/05/2026,PERUSALL E-BOOK,Shopping,Sale,-15.00,
04/02/2026,04/03/2026,CHIPOTLE MEX GR ONLINE,Food & Drink,Sale,-12.30,
04/01/2026,04/02/2026,TARGET        00033696,Shopping,Sale,-6.45,
03/31/2026,04/02/2026,TACO BELL 742453,Food & Drink,Sale,-8.61,
03/30/2026,03/31/2026,ENTERPRISE CARSHARE 10,Travel,Sale,-10.41,
03/23/2026,03/24/2026,ADVANCED VISION CARE OPT,Health & Wellness,Sale,-20.00,
03/20/2026,03/22/2026,UCSD HDH AUDREY'S CAFE,Education,Sale,-6.95,
03/19/2026,03/20/2026,AMZ*hwj3nr8b4 Sixth Marke,Shopping,Sale,-2.95,
03/19/2026,03/19/2026,Payment Thank You - Bill,,Payment,276.10,
03/18/2026,03/19/2026,Subway 17709,Food & Drink,Sale,-11.63,
03/18/2026,03/19/2026,TARGET        00033696,Shopping,Sale,-6.74,
03/17/2026,03/17/2026,STATEMENT CREDIT,Fees & Adjustments,Adjustment,40.20,
03/13/2026,03/15/2026,FLIX,Travel,Sale,-27.78,
03/09/2026,03/11/2026,TARGET        00033696,Shopping,Sale,-14.86,
03/07/2026,03/09/2026,RALPHS #0108,Groceries,Sale,-13.90,
03/07/2026,03/08/2026,CHIPOTLE MEX GR ONLINE,Food & Drink,Sale,-12.30,
