Transaction Date,Post Date,Description,Category,Type,Amount,Memo
02/02/2026,02/04/2026,TARGET        00033696,Shopping,Sale,-4.89,
01/31/2026,02/02/2026,TARGET        00033696,Shopping,Sale,-15.65,
01/30/2026,01/30/2026,Subway 17709,Food & Drink,Sale,-7.53,
01/21/2026,01/21/2026,Payment Thank You - Bill,,Payment,273.01,
01/19/2026,01/20/2026,RALPHS #0108,Groceries,Sale,-56.85,
01/16/2026,01/18/2026,TM *UNITED WE DANCE,Entertainment,Sale,-48.00,
01/18/2026,01/18/2026,UBER   *TRIP,Travel,Sale,-28.99,
12/21/2025,01/16/2026,REBILL SPRINGHILL SUITES,Travel,Sale,-179.14,
01/14/2026,01/16/2026,RALPHS #0108,Groceries,Sale,-1.93,
01/11/2026,01/12/2026,Subway 17709,Food & Drink,Sale,-7.53,
01/06/2026,01/07/2026,ENTERPRISE CARSHARE 10,Travel,Sale,-2.61,
01/06/2026,01/07/2026,ENTERPRISE CARSHARE 10,Travel,Sale,-15.61,
01/04/2026,01/06/2026,TARGET        00033696,Shopping,Sale,-14.00,
