Transaction Date,Post Date,Description,Category,Type,Amount,Memo
12/21/2025,01/05/2026,SPRINGHILL SUITES,Travel,Return,179.14,
01/03/2026,01/05/2026,IN-N-OUT VALENCIA,Food & Drink,Sale,-16.13,
01/01/2026,01/04/2026,H&amp;M  0378VALENCIA,Shopping,Sale,-19.74,
01/01/2026,01/02/2026,MACYS  SANTA CLARITA,Shopping,Sale,-16.55,
01/01/2026,01/02/2026,MARSHALLS #0728,Shopping,Sale,-19.74,
12/30/2025,01/01/2026,JOES AUTO PARKS MTA,Travel,Sale,-3.00,
12/26/2025,12/28/2025,SHAKE SHACK - 1380,Food & Drink,Sale,-35.08,
12/26/2025,12/26/2025,METROPOLIS PARKING,Travel,Sale,-25.20,
12/21/2025,12/23/2025,IN-N-OUTLV-BLUEDIAMOND,Food & Drink,Sale,-3.74,
12/21/2025,12/23/2025,SPRINGHILL SUITES,Travel,Sale,-179.14,
12/20/2025,12/22/2025,HOOVER DAM PARK/TOUR,Travel,Sale,-75.00,
12/20/2025,12/22/2025,COCOLINI II,Food & Drink,Sale,-7.79,
12/20/2025,12/21/2025,WM SUPERCENTER #2838,Groceries,Sale,-11.33,
12/19/2025,12/19/2025,Payment Thank You - Bill,,Payment,111.46,
12/08/2025,12/09/2025,RALPHS #0108,Groceries,Sale,-0.28,
12/07/2025,12/09/2025,7-ELEVEN 25629,Gas,Sale,-2.14,
12/07/2025,12/07/2025,Subway 17709,Food & Drink,Sale,-11.63,
12/06/2025,12/07/2025,FLIX,Travel,Sale,-25.66,
