Transaction Date,Post Date,Description,Category,Type,Amount,Memo
06/02/2026,06/04/2026,TACO BELL 742453,Food & Drink,Sale,-6.45,
06/02/2026,06/03/2026,CURSOR  AI POWERED IDE,Shopping,Sale,-20.00,
05/31/2026,06/02/2026,TACO BELL 742453,Food & Drink,Sale,-8.61,
05/29/2026,05/31/2026,RALPHS #0108,Groceries,Sale,-17.34,
05/27/2026,05/29/2026,TACO BELL 742453,Food & Drink,Sale,-13.99,
05/28/2026,05/29/2026,TST* RICH'S,Food & Drink,Sale,-16.17,
05/27/2026,05/27/2026,Payment Thank You - Bill,,Payment,335.02,
05/26/2026,05/27/2026,ENTERPRISE CARSHARE 10,Travel,Sale,-13.01,
05/25/2026,05/26/2026,AMTRAK .COM 1440723591472,Travel,Sale,-32.30,
05/21/2026,05/22/2026,FLIX,Travel,Sale,-33.98,
05/19/2026,05/21/2026,TACO BELL 742453,Food & Drink,Sale,-11.21,
05/14/2026,05/15/2026,GITHUB  INC.,Professional Services,Sale,-10.00,
05/13/2026,05/14/2026,UCSD BOOKSTORE WEB,Education,Sale,-53.88,
05/12/2026,05/14/2026,AMC 0423 LA JOLLA 12,Entertainment,Sale,-10.79,
05/12/2026,05/13/2026,PARCHMENT-UNIV DOCS,Professional Services,Sale,-5.90,
05/11/2026,05/11/2026,DD *DOORDASH BLOOMHAUS,Food & Drink,Sale,-28.04,
05/07/2026,05/10/2026,TACO BELL 742453,Food & Drink,Sale,-8.61,
