Transaction Date,Post Date,Description,Category,Type,Amount,Memo
07/16/2026,07/17/2026,WAL-MART #2297,Groceries,Sale,-35.34,
07/13/2026,07/14/2026,PERUSALL E-BOOK,Shopping,Sale,-15.00,
07/12/2026,07/13/2026,MCDONALD'S F31398,Food & Drink,Sale,-4.66,
07/10/2026,07/12/2026,PMUSA 304046 JERSEY CI,Travel,Sale,-0.75,
07/08/2026,07/10/2026,MTA*NYCT PAYGO,Travel,Sale,-3.00,
07/08/2026,07/10/2026,MTA*NYCT PAYGO,Travel,Sale,-3.00,
07/07/2026,07/09/2026,MTA*NYCT PAYGO,Travel,Sale,-3.00,
07/07/2026,07/09/2026,MTA*NYCT PAYGO,Travel,Sale,-3.00,
07/07/2026,07/08/2026,MCDONALD'S F25696,Food & Drink,Sale,-9.77,
07/06/2026,07/08/2026,MTA*NYCT PAYGO,Travel,Sale,-3.00,
07/06/2026,07/08/2026,MTA*NYCT PAYGO,Travel,Sale,-3.00,
07/06/2026,07/07/2026,LYFT   *AIRPORT 07-06,Travel,Sale,-71.99,
07/07/2026,07/07/2026,LYFT   *WAITSAVE 07-06,Travel,Sale,-13.94,
07/06/2026,07/06/2026,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-0.99,
07/06/2026,07/06/2026,DOMINOS PIZZA #10278,Food & Drink,Sale,-33.30,
