Transaction Date,Post Date,Description,Category,Type,Amount,Memo
04/29/2026,04/30/2026,CALSTATEAPPLY,Bills & Utilities,Sale,-140.00,
04/26/2026,04/28/2026,AMTRAK .COM 1160649536639,Travel,Sale,-22.10,
04/28/2026,04/28/2026,POPPIN* THE BOLLYWOOD,Shopping,Sale,-27.48,
04/24/2026,04/24/2026,Payment Thank You - Bill,,Payment,129.68,
04/21/2026,04/23/2026,TARGET        00033696,Shopping,Sale,-1.07,
04/21/2026,04/22/2026,AMTRAK .COM 1100634708546,Travel,Sale,-22.10,
04/18/2026,04/20/2026,IN-N-OUT JURUPA VALLEY,Food & Drink,Sale,-10.78,
04/18/2026,04/19/2026,FLIX,Travel,Sale,-23.23,
04/17/2026,04/19/2026,TARGET        00033696,Shopping,Sale,-16.79,
04/15/2026,04/17/2026,TACO BELL 742453,Food & Drink,Sale,-8.61,
04/15/2026,04/15/2026,GITHUB  INC.,Professional Services,Sale,-10.00,
04/13/2026,04/13/2026,FLIX,Travel,Sale,-20.13,
04/12/2026,04/13/2026,CHIPOTLE 0107,Food & Drink,Sale,-15.52,
04/06/2026,04/08/2026,TACO BELL 742453,Food & Drink,Sale,-8.61,
04/05/2026,04/07/2026,RASRAJ,Food & Drink,Sale,-8.60,
