Merchant Name,category
McDonald's,dining
Burger King,dining
Wendy's,dining
Taco Bell,dining
KFC,dining
Subway,dining
Chick-fil-A,dining
Domino's Pizza,dining
Pizza Hut,dining
Dunkin',dining
Starbucks,dining
Chipotle Mexican Grill,dining
Panera Bread,dining
Olive Garden,dining
Applebee's,dining
Chili's,dining
The Cheesecake Factory,dining
Outback Steakhouse,dining
IHOP,dining
Denny's,dining
Generic bar / lounge / nightclub,dining
DoorDash / Uber Eats / Grubhub order,dining
United Airlines,travel
American Airlines,travel
British Airways,travel
Lufthansa,travel
Air Canada,travel
Emirates,travel
Delta Air Lines,travel
Southwest Airlines,travel
Singapore Airlines,travel
Frontier Airlines,travel
JetBlue Airways,travel
Hawaiian Airlines,travel
Alaska Airlines,travel
Spirit Airlines,travel
Ryanair,travel
Smaller/unlisted airline,travel
Hertz,travel
Avis,travel
Budget Rent-A-Car,travel
Enterprise Rent-A-Car,travel
National Car Rental,travel
Alamo Rent-A-Car,travel
Dollar Rent-A-Car,travel
Thrifty Car Rental,travel
Sixt,travel
Generic / unlisted rental agency,travel
Hilton Hotels,travel
Marriott,travel
Best Western,travel
Sheraton,travel
Holiday Inn,travel
Hyatt Hotels,travel
Ritz-Carlton,travel
Motel 6,travel
Days Inn,travel
"Generic / unlisted hotel, motel, resort",travel
Regal Cinemas,entertainment
AMC Theatres,entertainment
Cinemark,entertainment
Alamo Drafthouse Cinema,entertainment
Netflix,entertainment
Spotify,entertainment
Disney+ / Hulu / Max,entertainment
Bowling alley,entertainment
Amusement park (e.g. Six Flags),entertainment
Ticketmaster / event ticketing,entertainment
Walmart (Supercenter / general merchandise),shopping
Walmart Neighborhood Market,shopping
Target,shopping
Costco Wholesale,groceries
Sam's Club,groceries
BJ's Wholesale Club,groceries
Dollar General,shopping
Dollar Tree / Family Dollar,shopping
Kohl's,shopping
Macy's,shopping
Nordstrom,shopping
JCPenney,shopping
Dillard's,shopping
TJ Maxx / Marshalls / Ross,shopping
Kroger,groceries
Safeway,groceries
Publix,groceries
Whole Foods Market,groceries
Trader Joe's,groceries
Albertsons / Safeway,groceries
Aldi,groceries
Best Buy,shopping
Apple Store (retail),shopping
GameStop,shopping
Micro Center,shopping
The Home Depot,shopping
Lowe's,shopping
Ace Hardware,shopping
CVS Pharmacy,shopping
Walgreens,shopping
Rite Aid,shopping
Shell,gas
Chevron,gas
ExxonMobil,gas
BP,gas
Pay-at-the-pump fuel purchase,gas
Staples,shopping
Office Depot / OfficeMax,shopping
Barnes & Noble,shopping
Dick's Sporting Goods,shopping
PetSmart,shopping
Petco,shopping
Michaels (crafts),shopping
Sephora / Ulta Beauty,shopping
Amazon.com (general purchase),shopping
eBay,shopping
Auto dealership (new/used sales & service),other
AutoZone / O'Reilly / Advance Auto Parts,other
Discount Tire,other
Jiffy Lube (auto repair),other
Uber (rides),travel
Lyft,travel
UPS,other
FedEx,other
USPS,other
Amtrak (passenger rail),travel
Local public transit / commuter rail,travel
"Cruise line (e.g. Royal Caribbean, Carnival)",travel
Parking garage / lot,travel
Toll road / bridge fee,travel
AT&T (wireless/internet service),other
Verizon,other
T-Mobile,other
Electric / gas / water utility bill,other
Auto/home/life insurance premium payment,other
Gym / fitness club membership,other
Dry cleaner,other
United Airlines,travel
American Airlines,travel
Pan American World Airways,travel
Eurofly,travel
Dragon Airlines,travel
British Airways,travel
Japan Air Lines,travel
Air France,travel
Lufthansa German Airlines,travel
Air Canada,travel
Royal Dutch Airlines (KLM),travel
Aeroflot,travel
Qantas,travel
Alitalia,travel
Saudi Arabian Airlines,travel
Swiss International Air Lines,travel
Scandinavian Airline System (SAS),travel
South African Airways,travel
Varig (Brazil),travel
Germanwings,travel
Air India,travel
Air Algerie,travel
Philippine Airlines,travel
Mexicana,travel
Pakistan International Airlines,travel
Air New Zealand,travel
Emirates Airlines,travel
Union de Transports Aeriens (UTA),travel
Air Malta,travel
SN Brussels Airlines,travel
Aerolineas Argentinas,travel
Olympic Airways,travel
El Al,travel
Ansett Airlines,travel
Etihad Airways,travel
TAP Air Portugal,travel
Viacao Aerea Sao Paulo (VASP),travel
EgyptAir,travel
Kuwait Airways,travel
Avianca,travel
Gulf Air (Bahrain),travel
Balkan-Bulgarian Airlines,travel
Finnair,travel
Aer Lingus,travel
Air Lanka,travel
Nigeria Airways,travel
Cruzeiro Do Sul,travel
Turkish Airlines (THY),travel
Royal Air Maroc,travel
Tunis Air,travel
Icelandair,travel
Austrian Airlines,travel
LAN Airlines,travel
"Aviacion Y Comercio (AVIACO, Spain)",travel
"Linea Aerea Del Cobre (LADECO, Chile)",travel
Lloyd Aero Boliviano (LAB),travel
Jet Airways,travel
Virgin America,travel
Delta Air Lines,travel
DBA Airline,travel
Northwest Airlines,travel
Continental Airlines,travel
Hapag-Lloyd Express,travel
US Airways,travel
Adria Airways,travel
Airinter,travel
Southwest Airlines,travel
Vanguard Airlines,travel
Air Astana,travel
Sun Country Airlines,travel
Air British Columbia,travel
Cebu Pacific Airlines,travel
Singapore Airlines,travel
Aeromexico,travel
Thai Airways,travel
China Airlines,travel
Jetstar Airways,travel
NordAir,travel
Korean Air,travel
Air Afrique,travel
EVA Airways,travel
Midwest Express Airlines,travel
Carnival Airlines,travel
Metro Airlines,travel
Croatia Airlines,travel
Transaero,travel
Uni Airways Corporation,travel
Zambia Airways,travel
Air Zimbabwe,travel
Spanair,travel
Asiana Airlines,travel
Cathay Pacific,travel
Malaysia Airlines,travel
Iberia,travel
Garuda Indonesia,travel
Braathens S.A.F.E.,travel
Wings Airways,travel
British Midland,travel
Windward Island Airways,travel
Tower Air,travel
Venezolana International De Aviacion,travel
Valley Airlines,travel
TAN-SAHSA,travel
Talair PTY Ltd.,travel
TACA International,travel
Surinam Airways,travel
Sunworld International,travel
VLM Airlines,travel
Frontier Airlines,travel
Sunbelt Airlines,travel
Sudan Airways,travel
Qatar Airways,travel
Singleton,travel
Simmons Airlines,travel
Scenic Airlines,travel
Virgin Atlantic,travel
San Juan Airlines,travel
Luxair,travel
Air Littoral S.A.,travel
Air Zaire,travel
Princeville Airways,travel
Go Fly Ltd.,travel
Provincetown-Boston Airways,travel
All Nippon Airways,travel
Norontair,travel
New York Helicopter,travel
Aero Continente,travel
Mount Cook Airline,travel
Canadian Airlines International,travel
Nationair,travel
JetBlue Airways,travel
Middle East Airlines,travel
Metroflight Airlines,travel
AirTran Airways,travel
Mesa Air,travel
WestJet Airlines,travel
Malev,travel
LOT Polish Airlines,travel
Oman Air,travel
LIAT,travel
Linea Aeropostal Venezolana (LAV),travel
Lineas Aereas Paraguayas (LAP),travel
LACSA (Costa Rica),travel
Virgin Express,travel
JAT (Jugoslav Air),travel
Island Airlines,travel
Indian Airlines,travel
Hawaiian Airlines,travel
Havasu Airlines,travel
Guyana Airways,travel
Golden Pacific Air,travel
Freedom Airlines,travel
China Eastern Airlines,travel
Norwegian Air Shuttle,travel
Dominicana De Aviacion,travel
Malmo Aviation,travel
Dan-Air Services,travel
Cumberland Airlines,travel
Ceskoslovenske Aerolinie (CSA),travel
Crown Air,travel
Compania Panamena De Aviacion (COPA),travel
Compania Faucett,travel
Transportes Aeros Militares,travel
Command Airways,travel
Comair,travel
Skyways,travel
Cayman Airways,travel
SAETA (Sociedad Ecuatoriana De Transportes Aereos),travel
